Title,Publisher,Published,Downloads,Pages,Category
Stumped!,David Stephenson,13-Jul,559,28,Fiction
Escape from Egypt,George Loukas,13-Jun,5589,115,Fiction
The Undergraduate's Mission,Subham Paul,13-Jun,405,107,Fiction
48 Hours in London,J. Jackson Bentley,13-Jun,15694,206,Fiction
Acts of Faith,Clive Gilson,13-Jun,1144,295,Fiction
Mr Skeffington,Elizabeth Von Armin,13-May,680,111,Fiction
The Adventures of Elizabeth in Rügen,Elizabeth Von Armin,13-May,131,134,Fiction
In the Mountains,Elizabeth Von Armin,13-May,490,75,Fiction
Fräulein Schmidt and Mr. Anstruthe,Elizabeth Von Armin,13-May,431,99,Fiction
Enchanted April,Elizabeth Von Armin,13-May,543,148,Fiction
The Pastor's Wife,Elizabeth Von Armin,13-May,757,253,Fiction
The Princess Priscilla's Fortnight,Elizabeth Von Armin,13-May,535,177,Fiction
Solitary Summer,Elizabeth Von Armin,13-May,639,71,Fiction
Vera,Elizabeth Von Armin,13-May,276,237,Fiction
Christine,Elizabeth Von Armin,13-May,634,40,Fiction
How to Become Famous in High School,Grey Gheist,13-May,758,239,Fiction
Austin Nights,Herocious,13-May,2052,162,Fiction
Squirrel Girl,Barbara Marquardt,13-May,241,214,Fiction
Bashed,Barbara Marquardt,13-May,2732,170,Fiction
Huntsville: A Story of Post Civil War Texas,Glynn Rogers,13-May,5082,299,Fiction
The Hammer Five,Jared Sande,13-May,646,98,Fiction
The Iron in Blood,Jenny Doe,13-May,4418,71,Fiction
The Deadly Onez Road Through Hell,Ziad Antar,13-May,295,48,Fiction
Secret Sidewalk,Tom Lichtenberg,13-May,698,56,Fiction
The Army Chronicles: Basics,C. R. Delport,13-May,539,85,Fiction
International Student Part One,Jackai,13-Apr,328,842,Fiction
Scottish Sampler,Courtney Webb,13-Apr,275,138,Fiction
The Turning Point,John Francis Kinsella,13-Apr,1164,346,Fiction
Grey Heart,Ray Anyasi,13-Apr,547,28,Fiction
The Pizza Joint,David Long,13-Mar,737,104,Fiction
The Gastropoda Imperative,Peter Barns,13-Mar,459,97,Fiction
Sleaford Noir 1,Morris Kenyon,13-Mar,532,77,Fiction
Project G.H.O.S.T,Karen Nguyen,13-Feb,17087,52,Fiction
Untrained Hearts,DJ Vallone,13-Feb,1019,345,Fiction
Fish Farm,Walt Sautter,13-Feb,847,64,Fiction
Mango Mouth,Victor Peter-George,13-Feb,243,37,Fiction
Dieselpunk Epulp Showcase,John Picha,13-Feb,356,125,Fiction
Disconnect -  Book One of the Divided Worlds Trilogy,Imran Siddiq,13-Feb,556,174,Fiction
In Search of Answers Ebook,Conrado L.C.,13-Feb,294,130,Fiction
Fair Lady,Mayra  Brojas,13-Jan,1268,117,Fiction
Payback,Peter Barns,13-Jan,1711,92,Fiction
The Fairy Forest,Kayla Coleman and Tyler Bussmann,13-Jan,1547,34,Fiction
A Deadly Suggestion,R. W. Williams,13-Jan,16427,206,Fiction
The Dastardly Mr Winkle Meets His Match,Rufus Offor,13-Jan,2922,499,Fiction
Some Things Are Better Left Untold (the Sherise Fanari Story),Jason Hooper Sr.,13-Jan,1314,249,Fiction
My Name is Nkosi,Lynn E. Oliviera,13-Jan,270,58,Fiction
The Deadly Onez,Ziad Antar,13-Jan,835,51,Fiction
CON - Condition Other than Normal,Gary Tetterington,13-Jan,518,229,Fiction
Mana,Asher Tensei,13-Jan,1322,174,Fiction
The Last Friends of Willie Coyote,Stephen Thor,12-Dec,890,130,Fiction
First Contact Finders – The Carnivorous Plant,Teodor Pravicky,12-Dec,365,133,Fiction
A Good Find,Gary L. Beer,12-Dec,4062,228,Fiction
Suzy,Gary L. Beer,12-Dec,2051,178,Fiction
For God's sake,Camille Gaudefroy,12-Dec,339,24,Fiction
Warriors of Gaia: Liberty's Cry,D. S. Northrop,12-Dec,2630,344,Fiction
The Monster within Me: The Book of the Prophecy,Giovani Valencia,12-Dec,889,217,Fiction
Trust Me,Noa Leibson,12-Nov,907,251,Fiction
The Other Door,Kanti W. Janis,12-Nov,426,33,Fiction
The Western Front (Part 1 of 3),Archer Garrett,12-Nov,1710,85,Fiction
"Dance with the Divine, a Guidance Story",Kathryn Eriksen,12-Nov,667,210,Fiction
Valotin - Book Two of the Early Years,J Barrett,13-Feb,90,50,Fiction
The Vagaries of Human Destiny,"Shri Hotchand Somomal Gurbani, M.A.  B.Ed",12-Nov,266,205,Fiction
The Deflowering of Rhona Lipshitz,Lisa Lieberman Doctor,12-Nov,3749,98,Fiction
Grand Vision,Michael Cole,12-Oct,680,103,Fiction
The Heart of an Assassin,Tony Bertot,12-Oct,24884,217,Fiction
Poverty Bay,Clare Radomske,12-Sep,2712,190,Fiction
Journey from Dark to Light,Disha Gupta,12-Sep,1505,202,Fiction
The Acolyte,L. J. Stephens,12-Sep,776,71,Fiction
September Mourning,Charles Narasi M.D.,12-Sep,22551,222,Fiction
Anti-Supernatural Assault Team- Book 1- the Seal of Solomon- Part 1,Michael Keyth,12-Sep,1854,60,Fiction
John Gone,Michael Kayatta,12-Aug,2357,520,Fiction
The Shift of Numbers,David Warrington,12-Aug,314,151,Fiction
The One Who is Two - Book 1 of White Rabbit,Stuart Oldfield,12-Aug,754,93,Fiction
Theo Spears and the Golden Diamond,Bireera Ahmed,12-Aug,468,83,Fiction
Khakhanate Book I - the Raven,Thomas Lankenau,12-Aug,1778,293,Fiction
The Crazy Helpdesk,Tanja Peikert,12-Aug,2370,50,Fiction
Jarek,Rigby Taylor,12-Aug,1911,147,Fiction
Neewa the Wonder Dog and the Ghost Hunters! Volume One: The Indian Medicine Woman's Mystery Revealed,John Cerutti,12-Jul,848,261,Fiction
Conspire,Victoria Rollison,12-Jul,4133,193,Fiction
Break Night,Jon Rigby,12-Jul,2895,89,Fiction
The Oak Tree,Julie Judish,12-Jul,3814,163,Fiction
200 Steps Down,Morris Kenyon,12-Jul,33696,167,Fiction
The Great American Novel,Tiago Bonacho,12-Jul,427,50,Fiction
Avalanche,Chrys Romeo,12-Jul,2941,37,Fiction
Blood on the Potomac,Joseph J. Albert,12-Jun,6931,57,Fiction
Thuggin in Miami (the Family Is Made : Part 1),R. A. Robinson,12-Jun,3486,429,Fiction
Worlds Unseen,Rachel Starr Thomson,12-Jun,1564,135,Fiction
Spirit Runner,Leon Southgate,12-Jun,2522,141,Fiction
American Werewolves,Melissa Pederson,12-Jun,11309,67,Fiction
Jon Hersey - Family Man,Leo N. Ardo,12-Jun,1123,30,Fiction
Crucifixion Reloaded,PVT,12-Jun,608,254,Fiction
Throne: Royal Millennium Trilogy,C.D. Newton,12-Jun,657,22,Fiction
Tales from the  Cottage,Peter Barns,12-Jun,1242,37,Fiction
The Future World President's First True Love,James Alexander,12-May,974,474,Fiction
Destination X,Nigel Raven,12-May,946,12,Fiction
Renasterea Unicornilor,Damian Lonut,12-May,46,24,Fiction
The Plot to Overthrow,Mohammad Goldstein,12-May,8240,50,Fiction
Wright Left,Peter Marks,12-Apr,864,398,Fiction
Whisperers,Peter Okolie,12-Apr,2613,50,Fiction
Summer in a Red Mustang with Cookies,Boo King,12-Apr,3540,180,Fiction
Boddaert's Magic: Fire Rock,Peter Barns,12-Apr,1175,134,Fiction
7 Days in May,Peter Barns,12-Apr,14348,88,Fiction
Gods of Men # 1,Joseph Pignataro,12-Apr,8999,45,Fiction
A Rainbow in my Pocket,Evelyn E. Hoverman,12-Mar,2304,6,Fiction
Goral-Howl of the Moon,Rebekah,12-Mar,1535,128,Fiction
Berserk Revenge,Mark Coakley,12-Mar,4383,188,Fiction
Return,J. Barrett,12-Mar,4084,38,Fiction
Fish Stocks Limited,Michael Summers,12-Mar,1420,117,Fiction
The Feathers,Rcheydn,12-Mar,2809,190,Fiction
Keepers of the Deep,Rcheydn,12-Mar,3377,191,Fiction
The Catskinner,Rcheydn,12-Mar,1526,260,Fiction
"Lewis Philips Signature Books - Book 1 - Past Present Future, Book 2 - Image of the Past",Lewis Philips,12-Mar,6775,236,Fiction
Tales of Every Day,Don Roxburgh,12-Mar,1009,79,Fiction
Motorbike Men,Duncan James,12-Mar,1286,152,Fiction
Anti-Supernatural Assault Team,Michael Keyth,12-Mar,4057,68,Fiction
Black Opal,Jimmy Brook,12-Feb,3976,152,Fiction
Hero & Heroin,Phil Beale,12-Feb,1245,198,Fiction
Billy Boy,Liam Foxx,12-Feb,3629,266,Fiction
The Hairy Little Oogie Man,Mr. Doren Martin,12-Feb,804,84,Fiction
Sebastian Cupid,J. J. Martin,12-Feb,4332,274,Fiction
Their Own Game,Duncan James,12-Feb,1854,175,Fiction
The Lost Clipper,Michel Poulin,12-Feb,3349,80,Fiction
God of Hunger,John Coutouvidis,12-Jan,4735,208,Fiction
Cashback,Duncan James,12-Jan,4365,327,Fiction
"Once Bitten, Twice Shy",Linda Louise Rigsbee,12-Jan,18399,95,Fiction
Govicide: Comply,Edward Dentzel,12-Jan,6559,251,Fiction
"Five Stories That Are Almost True, But Not Quite",George Loukas,11-Dec,2983,75,Fiction
Copycat Ripper,Bryan Stark,11-Dec,4509,130,Fiction
The Earth Is My Ant Farm,Allen Cooke,11-Dec,2090,50,Fiction
Dimension Shifter,T. M. Nielsen,11-Dec,41509,401,Fiction
The Awakening,Kim Sherwood,11-Nov,1812,37,Fiction
Bedtime Story,Alim Kanoukoev,11-Nov,4886,113,Fiction
The White Company,Sir Arthur Conan Doyle,11-Oct,9316,50,Fiction
The Shades of Paradise,Jalvin Read,11-Oct,9539,373,Fiction
Save the Animals and Children,Robert S. Swiatek,11-Oct,2127,50,Fiction
A Song for Peter,Jimmy Brook,11-Oct,2293,17,Fiction
Cotton Wool World,Eve Westwood,11-Oct,2230,226,Fiction
Roadman - The Movie Screenplay,Peter Leovic,11-Sep,1271,86,Fiction
Rain,Scott Zarcinas,11-Sep,1898,25,Fiction
A Bridge of Time,Lou Tortola,11-Sep,50370,266,Fiction
Black Donald,N. M. Gillson,11-Aug,8396,70,Fiction
2085 Redemption,David Ellinger,11-Jul,6568,96,Fiction
Quince Minutos de Fama,Jacobo Schifter,11-Jul,1740,180,Fiction
3 A.D.,Billie Matejka,11-May,21897,190,Fiction
Liability,Matthew S. Williams,11-May,7205,22,Fiction
Source,Matthew S. Williams,11-May,9936,129,Fiction
Legends of the Sith,Christopher Beasley,11-Apr,7761,142,Fiction
Sebastian,Rigby Taylor,11-Apr,6503,99,Fiction
The Sun Sharer - Free No.1 UK Chart Best Seller,David Edwards,11-Mar,10295,130,Fiction
BIMAT,Robert A. Webster,11-Mar,7859,278,Fiction
The Universal Sign,Siamak Akhavan,11-Mar,18617,223,Fiction
Four Trails: A Quartet of Country Tales,Anthony H. Roberts,11-Feb,4034,47,Fiction
Flipside II: From the Plains of Metamor,Byron Wayne Scott,11-Feb,4794,293,Fiction
Encala : Book 3 of the Heku Series,T. M. Nielsen,11-Feb,29090,707,Fiction
Quatrain,"Medler, John",11-Jan,83515,271,Fiction
The Green Scapula,Denise Doherty,11-Jan,8946,329,Fiction
Beginning at the End,Nicole Duffeck,11-Jan,86606,78,Fiction
Jason and the Astronauts,John Heilman,11-Jan,5015,50,Fiction
The Landlord,Ken Merrell,11-Jan,51713,464,Fiction
"Henrietta: The Story of Love, Tennis, and Taking Chances",Jon Kyne,11-Jan,5080,50,Fiction
"Polar 44, Ring 5",Edwin W. Biederman,11-Jan,5634,50,Fiction
Khakhanate Book 2: The Crow,Tom Lankenau,11-Jan,7276,50,Fiction
The Janitor,Adam Decker,11-Jan,15073,380,Fiction
2050,Dave Borland,10-Dec,47417,121,Fiction
Valle : Book 2 of the Heku Series,T. M. Nielsen,10-Dec,20508,389,Fiction
Heku : Book 1 of the Heku Series,T.M. Nielsen,10-Dec,19529,341,Fiction
Damage Control,Timothy Gilbert,10-Dec,14980,318,Fiction
Darkness and Light,Kathryn Nichole,10-Nov,66508,50,Fiction
The Maiden's Odyssey,Paul Coulter,10-Nov,9286,342,Fiction
Flipside,Byron Wayne Scott,10-Nov,7669,274,Fiction
A Call from the Dark,Adam Deverell,10-Sep,126334,146,Fiction
Bregdan Chronicles - Storm Clouds Rolling In,Ginny Dye,10-Sep,38675,505,Fiction
Choice Readings for the Home Circle,Anonymous,10-Aug,5679,281,Fiction
Captain Brassbound's Conversion,George Bernard Shaw,10-Aug,5466,92,Fiction
Augustus Does His Bit,George Bernard Shaw,10-Aug,3805,23,Fiction
Egmont,Johann Wolfgang Von Goethe,10-Aug,3881,85,Fiction
Getting Married,George Bernard Shaw,10-Aug,8495,141,Fiction
Planet X,Jamie Harbison,10-Aug,4655,39,Fiction
"No Wife, No Kids, No Plan",Doug Green,10-Aug,18331,251,Fiction
The Sea-Gull,Anton Chekhov,10-Aug,4951,55,Fiction
Dune Saga,Rising Sun,10-Aug,24732,185,Fiction
"Yellow on the outside, Shame on the Inside: Asian Culture Revealed",Anson Chi,10-Aug,22653,140,Fiction
Oedipus at Colonus,Sophocles,10-Aug,4764,69,Fiction
The Owl and the Hawk: An End to Terrorism,John Errett,10-Aug,19473,283,Fiction
Fanny's First Play,George Bernard Shaw,10-Aug,4268,79,Fiction
Home Town Heroes,Mac McStravick,10-Aug,5220,141,Fiction
Love Letters to Earth,Henry Quicke,10-Aug,5484,110,Fiction
A Lesson Learned,Eric King,10-Aug,25692,136,Fiction
Life as a Ghost,Frank Siegrist,10-Aug,13395,301,Fiction
Chalice,Robert A. Webster,10-Aug,17253,243,Fiction
Every Man in His Humour,Ben Jonson,10-Aug,7082,158,Fiction
The Master Builder,Henrik Ibsen,10-Aug,5976,165,Fiction
The Ripper: Redux,Byron Lester,10-Aug,4618,133,Fiction
The Hound of the Baskervilles,Sir Arthur Conan Doyle,10-Aug,18010,280,Fiction
Conspiracy,Jay Cuze,10-Aug,8822,26,Fiction
The Magnificent Lovers,Moliere,10-Aug,3809,36,Fiction
Dark Lady of the Sonnets,George Bernard Shaw,10-Aug,5243,35,Fiction
The Money Story,Golda Mowe,10-Aug,4496,19,Fiction
Disraeli Avenue,Caroline Smailes,10-Aug,7077,189,Fiction
The School for Husbands,Moliere,10-Aug,4036,42,Fiction
Philoctetes,Sophocles,10-Aug,3617,57,Fiction
Missoula,Steven Ford,10-Aug,6704,135,Fiction
Faust - Part I,Johann Wolfgang Von Goethe,10-Aug,10047,192,Fiction
Massacre at Paris,Christopher Marlowe,10-Aug,3360,48,Fiction
Sneakteaching,Grant Pylkas,10-Aug,7335,235,Fiction
Love for Love,William Congreve,10-Aug,8310,103,Fiction
Candida,George Bernard Shaw,10-Aug,6623,73,Fiction
"Psychic, Science and Jesus",Atsu Davoh,10-Aug,2576,13,Fiction
The Jew of Malta,Christopher Marlowe,10-Aug,6740,106,Fiction
The Reluctant Terrorist,Harvey A. Schwartz,10-Aug,18106,515,Fiction
Ivanoff,Anton Chekhov,10-Aug,4743,67,Fiction
In the Shadow of the Glen,John M. Synge,10-Aug,3309,15,Fiction
Watching Over Mia,Nithya Raghunath,10-Aug,6932,53,Fiction
Necessary Evil,John Erik Ege,10-Aug,19441,414,Fiction
Another Piece of the Action,John Erik Ege,10-Aug,19828,336,Fiction
Pygmalion,George Bernard Shaw,10-Aug,12497,88,Fiction
Inner Light: The Dragon Within,Metha Metharom,10-Aug,18030,193,Fiction
Peace,Aristophanes,10-Aug,3057,61,Fiction
The Outsider,Christopher J. Cronin,10-Aug,9690,144,Fiction
Every Man out of His Humour,Ben Jonson,10-Aug,7666,192,Fiction
Star Trek: A Touch of Greatness,John Erik Ege,10-Aug,14156,454,Fiction
Peter Saul and Mary Limited,Chris Jones,10-Aug,6083,205,Fiction
Caesar and Cleopatra,George Bernard Shaw,10-Aug,11623,123,Fiction
All Fourteen of Xgirl's X-Files Fanfic Stories,X-Girl,10-Aug,50873,204,Fiction
Parma Endorion: Essays on Middle-Earth,Michael Martinez,10-Aug,18883,124,Fiction
Oedipus the King,Sophocles,10-Aug,13313,58,Fiction
Buddha's Tooth,Robert A. Webster,10-Aug,29900,198,Fiction
The Maid's Tragedy,F. Beaumont and J. Fletcher,10-Aug,3943,96,Fiction
An Army of Convicts,Cliff Roehr,10-Aug,39437,161,Fiction
The Fox,Arlene Radasky,10-Aug,37214,214,Fiction
Doctor Mooze,Erik Ryman,10-Aug,6465,153,Fiction
Arms and the Man,George Bernard Shaw,10-Aug,11870,77,Fiction
Monsieur de Pourceaugnac,Moliere,10-Aug,3242,47,Fiction
In Search of Aimai Cristen,Phillip Good,10-Aug,3232,30,Fiction
Three Comedies,Bjornstjerne Bjornson,10-Aug,7306,163,Fiction
Cynthia's Revels (or the Fountain of Self-Love),Ben Jonson,10-Aug,6870,198,Fiction
The Path of Dreams,Eugene Woodbury,10-Aug,33687,290,Fiction
Success Through Concentration,BindalTech,10-Aug,9021,55,Fiction
Three Dramas,Bjornstjerne Bjornson,10-Aug,8510,245,Fiction
Castles in the Air,Baroness Orczy,10-Aug,16712,143,Fiction
Goodmans Hotel,Alan Keslian,10-Aug,11903,135,Fiction
Closer than Breathing - a Light Gay Odyssey,Alan Keslian,10-Aug,23074,131,Fiction
The Lost Symbol - Devil's Bible,Richard Stan Brown (German),10-Aug,9593,62,Fiction
Dream,Carlos Mota,10-Aug,206346,49,Fiction
The Identity Check,Ken Merrell,10-Jul,105638,479,Fiction
The Leaching of Ian Burns (Abridged),Audrey K. Agnothedy,10-Jul,16896,455,Fiction
Immortal,A. R. James,10-Jun,13839,70,Fiction
Sensei of Shambala,Anastasia Novykh,10-Jun,14368,402,Fiction
Bloody Kansas,"Farley W. Jenkins, Jr.",10-Jun,10760,113,Fiction
The Albatross and the Mermaid,Amanda Fox,10-May,17119,107,Fiction
Jody 'plus' Toby,Bassam Imam,10-May,5514,204,Fiction
The Terrorist Plot at Gopherville,Steve Bartholomew,10-Mar,6975,181,Fiction
La Hora de Leviatán,Alemany,10-Mar,8274,539,Fiction
Far Behind,Langdon Hues,10-Mar,7394,212,Fiction
Don't Bet on It,Robert S. Swiatek,10-Mar,14448,168,Fiction
Unlawful Identity,Amy Shannon,10-Mar,19100,226,Fiction
Oberon's Gift - a Political Fantasy,Richard D. Hardaway,10-Jan,6487,112,Fiction
Jody Wilson: Do You Love Me?,Bassam Imam,10-Jan,4980,127,Fiction
Magical Moonlight,Elsa Rose,10-Jan,35320,532,Fiction
The Flower Guarding Bells,Edmundshen,9-Nov,7969,588,Fiction
The Jody Wilson Stories,Bassam Imam,9-Nov,7943,443,Fiction
I Got You Babe,Derrick Goodwin,9-Oct,18990,162,Fiction
Kurt's Pretty Lady,Cliff Ashbridge,9-Aug,47901,281,Fiction
AI Made Easy,Harman,25-Aug,166,29,Artificial Intelligence
Artificial Intelligence (AI) Unleashed: Exploring The Boundless Potential Of AI,Michael McNaught,25-Jul,76,45,Artificial Intelligence
Tomorrow's AI Surveillance State,Pat Vojtaskovic,25-Jun,29,34,Artificial Intelligence
New CityTrader Magazine #1,dr Dariusz Swierk,25-Jun,8,54,Artificial Intelligence
AI Overviews,Techbound,25-Jun,34,20,Artificial Intelligence
AI as Your  Deputy:  Enhancing Decision-Making in the C-Suite,Prashant Mali,24-Sep,88,71,Artificial Intelligence
AI in Everyday Life: How Artificial Intelligence is Already Changing Our Experiences,Tadeusz Murawski,24-Sep,209,29,Artificial Intelligence
Algorithmic Trading Unleashed: AI-Driven Strategies for Success,Tadeusz Murawski,24-Sep,101,52,Artificial Intelligence
Smart Strategies: AI Tools for Sales and Marketing Excellence,Tadeusz Murawski,24-Sep,162,45,Artificial Intelligence
Using ChatGPT for Screenwriting: A Step-by-Step Guide for Upcoming Screenwriters (English Edition),JJ,24-Jun,138,30,Artificial Intelligence
AI-Powered Testing: Mastering the Art of Efficient and Effective Software Quality Assurance,Morris,24-Apr,79,31,Artificial Intelligence
AI Demystified,Alex David Pratt,24-Apr,149,70,Artificial Intelligence
Top Ai Tool for Digital Marketing Success,JamesF,24-Apr,206,36,Artificial Intelligence
The Rise of Artificial Intelligence: Unveiling the Social Impacts,Gagan Kathpal,23-Jun,523,67,Artificial Intelligence
The Beginners Guide to Artificial Intelligence AI,Frank Dartey Amankonah,23-Mar,1826,58,Artificial Intelligence
Will Trump Dumb Down The U.S. Artificial Intelligence Strategy?,Michael Erbschloe,17-Jan,319,51,Artificial Intelligence
Liber Ninlil,Daniel Esprit,26-Mar,1,114,Religious
Liber Taninsam,Daniel Esprit,26-Mar,1,93,Religious
Against the Light: The Philosophy of the Left-Hand Path,Denys Spirin,26-Feb,2,186,Religious
Daniel and the Boys in the Band,Brian E. R. Limmer,26-Feb,7,160,Religious
Six Qualities of Da’wah & Tabligh,Talib Jaleel,26-Jan,0,98,Religious
The Art of Renewing Your Mind,Ericka Clay,26-Jan,23,36,Religious
Write Your Story!,Ericka Clay,26-Jan,9,38,Religious
Conditional Immortality - Biblical Proof of Annihaliation in Hell,Douglas B.,26-Jan,8,87,Religious
Da’wah Bitesize,Talib Jaleel,26-Jan,1,237,Religious
"Last Days Timeline, A literal interpretation of biblical prophecy, second edition",Gregory Supina,25-Nov,19,1818,Religious
The Crosses We Bear,Ericka Clay,25-Nov,7,58,Religious
The Roman Church Through AI’s Lens - Book Three,Julio Carrancho,25-Sep,15,543,Religious
The Colors We Could Be Missing,Ericka Clay,25-Aug,6,112,Religious
Snapped,Ericka Clay,25-Aug,3,28,Religious
Light at the End of the Tunnel,Ericka Clay,25-Aug,5,68,Religious
I Guess All This Is to Say,Ericka Clay,25-Aug,2,138,Religious
I Can No Longer Hear the Music,Ericka Clay,25-Aug,2,72,Religious
Set Free,Ericka Clay,25-Aug,5,92,Religious
Letters to Our Former Selves,Ericka Clay,25-Aug,2,74,Religious
Even So,Ericka Clay,25-Aug,2,44,Religious
Between You and Me,Ericka Clay,25-Aug,2,140,Religious
So You Wanna Be a Christian?,Ericka Clay,25-Jul,70,30,Religious
The Roman Church Through AI’s Lens - Book Two,Julio Carrancho,25-Jul,16,542,Religious
The Roman Church Through AI’s Lens,Julio Carrancho,25-Jun,22,394,Religious
Walking A Christian Path,Graham Pockett,25-May,101,96,Religious
Conversations With AI - Volume Five,Julio Carrancho,25-Jun,11,442,Religious
Don't Be Deceived,Chris Whitcomb,25-Jun,34,89,Religious
Thoughts on Christian Living Book #2,Dr. W. A. Dillard,25-Jun,5,277,Religious
Thoughts on Discipleship,Dr. W. A. Dillard,25-Jun,8,238,Religious
The Whispers of Fate,Perst Sution,25-Jun,12,23,Religious
Unseen to unbreakable,John Henry,25-Jun,16,270,Religious
Lucifer's Guidance & The Satanic,Lucifer Diamon White,25-Jun,17,146,Religious
The Book of the Lamb (The Book of Life) - The Word of God (1955-2005),Jesus Christ,25-Jan,35,1575,Religious
An Ancient Worship Movement,St. Thomas Church,24-Dec,29,133,Religious
Understanding The Endtimes,John Corin,24-Dec,47,173,Religious
The firstborn devotional,Maryline Okoba,24-Dec,13,26,Religious
Chronology of the New-World Order,ELI YAH,24-Nov,25,162,Religious
Problem Solutions for the Christian Life,Dr. Frank P Ferraro,24-Nov,33,59,Religious
How to be a Divine Mercy Superhero,Sr.Mary Joe CSN,24-Oct,9,26,Religious
The Edification Complex of the Soul,Dr. Frank P Ferraro,24-Oct,15,109,Religious
Tell Me...Does Life After Death Really Exist?,Sr.Mary Joe CSN,24-Oct,18,20,Religious
The Satanic,Lucifer Diamon White,24-Oct,34,83,Religious
The Antichrist and Manipulation during the Apocalypse,Richard Stan Brown,24-Oct,35,24,Religious
The Keys to Living in the Kingdom,John Corin,24-Sep,56,135,Religious
The Interlocking System of Arrogance 4th Ed,Dr. Frank P. Ferraro,24-Sep,15,1197,Religious
Islamic Methodologies Made Easy,Ehab Shawky,24-Sep,23,413,Religious
Revelation,Lorri Frandsen,24-Sep,97,126,Religious
Practical Tips to live the Divine Mercy Devotion,Sr.Mary Joe CSN,24-Aug,19,29,Religious
The JC Team (Volume 3),Sr.Mary Joe CSN,24-Aug,13,65,Religious
There's ONLY ONE SIN that keeps you from Heaven,Abraham Vos,24-Aug,31,42,Religious
According to Scripture...God is 'not' in Control & God is 'not all' Sovereign & God does 'not' tempt us,Abraham Vos,24-Aug,18,44,Religious
Awake: An Inner Autobiography,J,24-Jul,18,82,Religious
Atheists vs Theists,Júlio Carrancho,24-Jun,54,385,Religious
Mark,"John Teague, ThD and Joseph F. Roberts, ThD, PhD",24-May,27,117,Religious
Mysticism: Philosophy & Process,J,24-May,20,25,Religious
Devotions From the Pen of Dr. W. A. Dillard,W.A. Dillard,24-Apr,19,238,Religious
Scriptural Apologetics 101 Salvation,John Scott Roesch,24-Apr,33,192,Religious
Jude the Unplanned Book,"John Teague, ThD",24-Apr,16,46,Religious
Chistianity in Action,"John Teague, ThD",24-Apr,9,62,Religious
A Study Guide for the Book of Lamentations,"John Teague, ThD",24-Apr,16,84,Religious
A Book of Bible Doctrines,Toby Cribbs,24-Apr,26,55,Religious
A Sin Unto Death,"John Teague, ThD",24-Apr,22,60,Religious
Hebrews God's Plan For Spiritual Maturity,John Power,24-Apr,44,278,Religious
Why Bad Things Happen to Good People,"Joseph F. Roberts, ThD, PhD",24-Apr,30,40,Religious
The Facts About Backsliding,John Scott Roesch,24-Apr,10,38,Religious
The Church Covenant,"John Teague, ThD",24-Apr,9,61,Religious
The Book of Daniel - An Analysis,"Joseph F. Roberts, ThD, PhD",24-Apr,41,247,Religious
Scriptural Apologetics 101,John Scott Roesch,24-Apr,24,130,Religious
The Chief,"Joseph F. Roberts, ThD, PhD",24-Apr,20,433,Religious
Understanding the Holy Spirit,"Joseph F. Roberts, ThD, PhD",24-Apr,70,42,Religious
The Steps of Jesus,"Joseph F. Roberts, ThD, PhD",24-Apr,39,139,Religious
The Prayers of Jesus,"Joseph F. Roberts, ThD, PhD",24-Apr,38,92,Religious
How To Be,"Joseph F. Roberts, ThD, PhD",24-Apr,24,42,Religious
Cardinal Doctrines of a New Testament Church,"Joseph F. Roberts, ThD, PhD",24-Apr,16,209,Religious
The Lord's Prayer,"Joseph F. Roberts, ThD, PhD",24-Apr,22,68,Religious
The Gospel of Matthew; The life and times of God in a body of flesh,Gregory Stephen Supina,24-Mar,32,2022,Religious
THE HOPE OF PERFECTION,JOHN CORIN,24-Mar,53,98,Religious
On Your Wiccan Way,Mike Sexton,24-Mar,26,292,Religious
The Birth of Christ,"Joseph F. Roberts, ThD, PhD",24-Mar,20,76,Religious
CHURCH HISTORY THROUGH THE TRAIL OF BLOOD,"Joseph F. Roberts, ThD, PhD",24-Mar,37,481,Religious
The Life and Teaching Of Jesus Christ,TruthSeeker,24-Mar,78,32,Religious
The Deception Of Allah,Christian Prince,24-Mar,117,286,Religious
War of the Seed,Lorri Frandsen,24-Mar,36,204,Religious
Tales in Genesis,Julio Carrancho,24-Mar,30,254,Religious
"Understanding Human Good, Doing GOOD DEEDS for God",Dr. Frank P. Ferraro,24-Feb,80,67,Religious
The Power System of God - The Divine Dynasphere,Dr. Frank P. Ferraro,24-Jan,73,246,Religious
The Errors of the Trinity - The Revelation of JESUS Christ,Dennis Beard,24-Jan,63,361,Religious
The Sacred Power,J,23-Dec,62,48,Religious
The Word of God about the fearful judgment,Jesus Christ,23-Oct,36,101,Religious
The Real Law of Attraction Code - Training Guide,Angelia Griffith,23-Oct,106,33,Religious
True religion,alisaroba,23-Aug,23,32,Religious
Spirituality: Living From The Human Spirit,Neal I. Fox,23-Jul,868,182,Religious
Spiritual Alchemy  Transcendence and Empowerment through Ancient Mystical Practices,Angelia Griffith,23-Jul,203,133,Religious
Valuable Christian Lessons,Adam J. Capps,23-Jul,177,103,Religious
The Ramayana - A True Reading,Thanthai Periyar,23-Jun,252,58,Religious
Becoming A Smarter Christian,Adam J. Capps,23-May,202,103,Religious
"To Feel The Best, Love The Happiest!",The Protected By Allah,23-Apr,17,75,Religious
